  0.172000  0.014672  0.000116 -0.001463  0.169706  0.002205 -0.016881
  0.173000  0.014842  0.000118 -0.001480  0.170675  0.002235 -0.016976
  0.174000  0.015013  0.000121 -0.001497  0.171643  0.002265 -0.017071
  0.175000  0.015185  0.000123 -0.001514  0.172611  0.002295 -0.017166
  0.176000  0.015359  0.000125 -0.001532  0.173579  0.002326 -0.017261
  0.177000  0.015533  0.000128 -0.001549  0.174546  0.002357 -0.017356
  0.178000  0.015708  0.000130 -0.001566  0.175513  0.002388 -0.017451
  0.179000  0.015884  0.000132 -0.001584  0.176480  0.002419 -0.017546
  0.180000  0.016061  0.000135 -0.001601  0.177447  0.002451 -0.017641
  0.181000  0.016239  0.000137 -0.001619  0.178413  0.002483 -0.017736
  0.182000  0.016417  0.000140 -0.001637  0.179380  0.002515 -0.017831
  0.183000  0.016597  0.000142 -0.001655  0.180346  0.002547 -0.017926
  0.184000  0.016778  0.000145 -0.001673  0.181311  0.002580 -0.018020
  0.185000  0.016960  0.000147 -0.001691  0.182277  0.002612 -0.018115
  0.186000  0.017143  0.000150 -0.001709  0.183242  0.002645 -0.018210
  0.187000  0.017326  0.000153 -0.001727  0.184206  0.002679 -0.018304
  0.188000  0.017511  0.000155 -0.001746  0.185171  0.002712 -0.018399
  0.189000  0.017697  0.000158 -0.001764  0.186135  0.002746 -0.018493
  0.190000  0.017883  0.000161 -0.001783  0.187099  0.002780 -0.018588
  0.191000  0.018071  0.000164 -0.001801  0.188063  0.002815 -0.018682
  0.192000  0.018260  0.000167 -0.001820  0.189026  0.002849 -0.018777
  0.193000  0.018449  0.000169 -0.001839  0.189990  0.002884 -0.018871
  0.194000  0.018639  0.000172 -0.001858  0.190952  0.002919 -0.018965
  0.195000  0.018831  0.000175 -0.001877  0.191915  0.002954 -0.019059
  0.196000  0.019023  0.000178 -0.001896  0.192877  0.002990 -0.019153
  0.197000  0.019217  0.000181 -0.001915  0.193839  0.003026 -0.019247
  0.198000  0.019411  0.000184 -0.001934  0.194801  0.003062 -0.019342
  0.199000  0.019606  0.000187 -0.001954  0.195763  0.003099 -0.019436
  0.200000  0.019803  0.000191 -0.001973  0.196724  0.003135 -0.019529
  0.201000  0.020000  0.000194 -0.001993  0.197685  0.003172 -0.019623
  0.202000  0.020198  0.000197 -0.002012  0.198645  0.003209 -0.019717
  0.203000  0.020397  0.000200 -0.002032  0.199605  0.003247 -0.019811
